method,label,test_condition,seeds,parameters,model_size_kib_fp32,update_size_kib_fp32,latency_batch1_ms_cpu_mean,latency_batch1_ms_cpu_std,mae_m_mean,mae_m_std,rmse_m_mean,rmse_m_std,p90_m_mean,p90_m_std,p95_m_mean,p95_m_std,max_m_mean,max_m_std
adr_lstm_central,ADR LSTM-only (centralized),mixed,5,17378,67.8828125,0.0,0.20561798800099496,0.036161324197421,0.09883411079645157,0.0016129366865012954,0.1272217884659767,0.004296202709768547,0.18615473806858063,0.0032487304770687595,0.23530632257461548,0.006430624578417039,0.8338315486907959,0.09182973964677152
adr_lstm_central,ADR LSTM-only (centralized),independent,5,17378,67.8828125,0.0,0.19358291200023814,0.01770313422022095,0.09177061319351196,0.0017394429020335357,0.11034167557954788,0.002931306680147377,0.17435449063777925,0.006402670722107436,0.20797917246818542,0.005767098712644244,0.5501353442668915,0.11638172647165847
adr_lstm_central,ADR LSTM-only (centralized),burst,5,17378,67.8828125,0.0,0.19422091599881242,0.01820351894281512,0.11107108443975448,0.0033685538420781176,0.15166014730930327,0.008519098838951387,0.21716364920139314,0.006895094662768183,0.30580962300300596,0.022787042160271286,1.2553458333015441,0.383058424718184
adr_tcn_central,ADR TCN-only (centralized),mixed,5,13538,52.8828125,0.0,0.2836704860010286,0.028094834897014507,0.0993551641702652,0.0018264081474689297,0.1285759449005127,0.004376202893129095,0.18589614033699037,0.00421520722419501,0.2358672797679901,0.00671579782540077,0.8606019139289856,0.10308772391604953
adr_tcn_central,ADR TCN-only (centralized),independent,5,13538,52.8828125,0.0,0.2829608720012402,0.02662390286014059,0.09177061319351196,0.0017394429020335357,0.11034167557954788,0.002931306680147377,0.17435449063777925,0.006402670722107436,0.20797917246818542,0.005767098712644244,0.5501353442668915,0.11638172647165847
adr_tcn_central,ADR TCN-only (centralized),burst,5,13538,52.8828125,0.0,0.26838206999946124,0.020892032802645247,0.11628151684999466,0.004102312856170945,0.17193959057331085,0.01453203198020517,0.22085199356079102,0.005515444217438471,0.33165053129196165,0.02589856356585345,1.6373338222503662,0.5646181132545193
adr_tcn_lstm_central,ADR TCN-LSTM (centralized),mixed,5,30970,120.9765625,0.0,0.4777741559983042,0.042427011655052735,0.0972083181142807,0.0019905535559497233,0.12237361371517182,0.004887903920544073,0.18450007438659669,0.004036020289428059,0.22917521893978118,0.007007800175835249,0.7162608623504638,0.15927658555308463
adr_tcn_lstm_central,ADR TCN-LSTM (centralized),independent,5,30970,120.9765625,0.0,0.4695167419995414,0.04688602273114366,0.09177061319351196,0.0017394429020335357,0.11034167557954788,0.002931306680147377,0.17435449063777925,0.006402670722107436,0.20797917246818542,0.005767098712644244,0.5501353442668915,0.11638172647165847
adr_tcn_lstm_central,ADR TCN-LSTM (centralized),burst,5,30970,120.9765625,0.0,0.47658154199962155,0.03408163123023887,0.1077020525932312,0.003948566402267711,0.14441931545734404,0.010532103002561436,0.20781121850013734,0.007721427345354349,0.27920066118240355,0.016429394673920798,1.2568524360656739,0.5301054656642303
adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),mixed,5,30970,120.9765625,120.9765625,0.46773729200049274,0.0351921487407045,0.10308446735143661,0.0026807063366724652,0.14099808633327485,0.007346245685680242,0.18911794424057007,0.006112660171856476,0.2452651619911194,0.008787981179093095,1.0507001042366029,0.13534019591504348
adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),independent,5,30970,120.9765625,120.9765625,0.46471842600021773,0.04862492696264818,0.09177061319351196,0.0017394429020335357,0.11034167557954788,0.002931306680147377,0.17435449063777925,0.006402670722107436,0.20797917246818542,0.005767098712644244,0.5501353442668915,0.11638172647165847
adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),burst,5,30970,120.9765625,120.9765625,0.4654534760011302,0.047224317274930136,0.12340023666620255,0.004644884442643819,0.1842796266078949,0.011475452440318334,0.2382008761167526,0.006703388810840981,0.40903754234313966,0.04000274777452746,1.3152749300003053,0.23049282014928157
fl_static_no_densification,Federated static DNN without temporal densification,mixed,5,4258,16.6328125,16.6328125,0.04414939800153661,0.00067224417229678,0.16541674733161926,0.01069604312517356,0.4391532361507416,0.03647457708555278,0.1921171188354492,0.0048343526744585325,0.26019701063632966,0.008459270341653747,3.4625253200531008,0.2392630970874589
fl_static_no_densification,Federated static DNN without temporal densification,independent,5,4258,16.6328125,16.6328125,0.04440087399962067,0.0012282300333108763,0.09177061319351196,0.0017394429020335357,0.11034167557954788,0.002931306680147377,0.17435449063777925,0.006402670722107436,0.20797917246818542,0.005767098712644244,0.5501353442668915,0.11638172647165847
fl_static_no_densification,Federated static DNN without temporal densification,burst,5,4258,16.6328125,16.6328125,0.04586071600078867,0.001590251942534705,0.30017188787460325,0.019229179359336993,0.7240422248840332,0.04296720328946998,0.8462154626846313,0.28586482487569864,2.2282721519470217,0.16524098700676176,3.5638085842132567,0.10239530130240466
single_pd_lstm_central,Single-PD/RSS LSTM (centralized),mixed,5,13922,54.3828125,0.0,0.20553750199906062,0.03434148787524252,0.9375165343284607,0.017168442343855526,1.0734604120254516,0.01856104656412517,1.5410556316375732,0.023684219314052284,1.7837438106536865,0.025381197881195805,4.154202079772949,0.47128331029297177
single_pd_lstm_central,Single-PD/RSS LSTM (centralized),independent,5,13922,54.3828125,0.0,0.20159717799924692,0.02672676845925237,0.9819593787193298,0.021818295460268915,1.132530689239502,0.024618095961362364,1.6133804798126221,0.03662235504110451,1.9397544860839844,0.062081264805188795,4.218526458740234,0.21641966333459728
