seed,method,label,test_condition,mae_m,rmse_m,p90_m,p95_m,max_m,n_test_windows,parameters,model_size_kib_fp32,update_size_kib_fp32,latency_batch1_ms_cpu,training_seconds_cpu,effective_sample_passes,train_windows,validation_windows,test_windows
11,adr_lstm_central,ADR LSTM-only (centralized),mixed,0.0965927243232727,0.12115991860628128,0.1812739372253418,0.23107001185417175,0.69190913438797,2760,17378,67.8828125,0.0,0.2617432099987127,9.105162929000016,30.0,11040,2760,2760
11,adr_lstm_central,ADR LSTM-only (centralized),independent,0.09006638079881668,0.10788749158382416,0.1677098125219345,0.20487339794635773,0.5715522170066833,2760,17378,67.8828125,0.0,0.19245012999817845,9.105162929000016,30.0,11040,2760,2760
11,adr_lstm_central,ADR LSTM-only (centralized),burst,0.10713142901659012,0.14076761901378632,0.21361109614372253,0.2975892126560211,1.0458283424377441,2760,17378,67.8828125,0.0,0.18024192999746447,9.105162929000016,30.0,11040,2760,2760
23,adr_lstm_central,ADR LSTM-only (centralized),mixed,0.099391408264637,0.13020777702331543,0.1868571937084198,0.2415948212146759,0.8781658411026001,2760,17378,67.8828125,0.0,0.17823795000367681,9.330165281000063,30.0,11040,2760,2760
23,adr_lstm_central,ADR LSTM-only (centralized),independent,0.09075174480676651,0.10880971699953079,0.17345695197582245,0.2042907029390335,0.49738359451293945,2760,17378,67.8828125,0.0,0.1767356300024403,9.330165281000063,30.0,11040,2760,2760
23,adr_lstm_central,ADR LSTM-only (centralized),burst,0.111440010368824,0.15199272334575653,0.22183915972709656,0.31126919388771057,0.9937724471092224,2760,17378,67.8828125,0.0,0.18851458999961324,9.330165281000063,30.0,11040,2760,2760
37,adr_lstm_central,ADR LSTM-only (centralized),mixed,0.10092952847480774,0.13144102692604065,0.18978244066238403,0.23676356673240662,0.9282192587852478,2760,17378,67.8828125,0.0,0.22240976000375667,9.250464217999706,30.0,11040,2760,2760
37,adr_lstm_central,ADR LSTM-only (centralized),independent,0.09401638805866241,0.11422670632600784,0.18166223168373108,0.21396762132644653,0.5724565982818604,2760,17378,67.8828125,0.0,0.21573797000201012,9.250464217999706,30.0,11040,2760,2760
37,adr_lstm_central,ADR LSTM-only (centralized),burst,0.11438319832086563,0.1604883372783661,0.2223839908838272,0.3162766396999359,1.9281216859817505,2760,17378,67.8828125,0.0,0.21663289000116492,9.250464217999706,30.0,11040,2760,2760
53,adr_lstm_central,ADR LSTM-only (centralized),mixed,0.09808232635259628,0.12444654107093811,0.1879449039697647,0.22649332880973816,0.7986272573471069,2760,17378,67.8828125,0.0,0.180391089998011,9.065219006999996,30.0,11040,2760,2760
53,adr_lstm_central,ADR LSTM-only (centralized),independent,0.0932345762848854,0.11272694170475006,0.18019837141036987,0.21444840729236603,0.7133849263191223,2760,17378,67.8828125,0.0,0.20680763000200386,9.065219006999996,30.0,11040,2760,2760
53,adr_lstm_central,ADR LSTM-only (centralized),burst,0.10814031958580017,0.14573979377746582,0.20663273334503174,0.27162203192710876,1.1832352876663208,2760,17378,67.8828125,0.0,0.2100547399959396,9.065219006999996,30.0,11040,2760,2760
71,adr_lstm_central,ADR LSTM-only (centralized),mixed,0.09917456656694412,0.1288536787033081,0.1849152147769928,0.24060988426208496,0.8722362518310547,2760,17378,67.8828125,0.0,0.18530793000081758,8.76511708199996,30.0,11040,2760,2760
71,adr_lstm_central,ADR LSTM-only (centralized),independent,0.0907839760184288,0.10805752128362656,0.16874508559703827,0.20231573283672333,0.39589938521385193,2760,17378,67.8828125,0.0,0.17618319999655796,8.76511708199996,30.0,11040,2760,2760
71,adr_lstm_central,ADR LSTM-only (centralized),burst,0.1142604649066925,0.15931226313114166,0.2213512659072876,0.33229103684425354,1.125771403312683,2760,17378,67.8828125,0.0,0.17566042999987985,8.76511708199996,30.0,11040,2760,2760
11,adr_tcn_central,ADR TCN-only (centralized),mixed,0.09698015451431274,0.12231758236885071,0.18145573139190674,0.22757922112941742,0.7262356877326965,2760,13538,52.8828125,0.0,0.29275549999965733,13.617250037999838,30.0,11040,2760,2760
11,adr_tcn_central,ADR TCN-only (centralized),independent,0.09006638079881668,0.10788749158382416,0.1677098125219345,0.20487339794635773,0.5715522170066833,2760,13538,52.8828125,0.0,0.2927055300006032,13.617250037999838,30.0,11040,2760,2760
11,adr_tcn_central,ADR TCN-only (centralized),burst,0.11188840866088867,0.15700101852416992,0.21778438985347748,0.30661851167678833,1.068235993385315,2760,13538,52.8828125,0.0,0.28580157999840594,13.617250037999838,30.0,11040,2760,2760
23,adr_tcn_central,ADR TCN-only (centralized),mixed,0.09948699176311493,0.13074643909931183,0.18466085195541382,0.23892368376255035,0.8685694932937622,2760,13538,52.8828125,0.0,0.23858426000060717,14.137789974000043,30.0,11040,2760,2760
23,adr_tcn_central,ADR TCN-only (centralized),independent,0.09075174480676651,0.10880971699953079,0.17345695197582245,0.2042907029390335,0.49738359451293945,2760,13538,52.8828125,0.0,0.242832650001219,14.137789974000043,30.0,11040,2760,2760
23,adr_tcn_central,ADR TCN-only (centralized),burst,0.11372753977775574,0.1677062064409256,0.21447530388832092,0.3058233857154846,1.7430720329284668,2760,13538,52.8828125,0.0,0.24170038000193017,14.137789974000043,30.0,11040,2760,2760
37,adr_tcn_central,ADR TCN-only (centralized),mixed,0.10181356221437454,0.13335010409355164,0.19010505080223083,0.2411843240261078,0.9555116295814514,2760,13538,52.8828125,0.0,0.2869121300000188,13.200435467000261,30.0,11040,2760,2760
37,adr_tcn_central,ADR TCN-only (centralized),independent,0.09401638805866241,0.11422670632600784,0.18166223168373108,0.21396762132644653,0.5724565982818604,2760,13538,52.8828125,0.0,0.2778206500033775,13.200435467000261,30.0,11040,2760,2760
37,adr_tcn_central,ADR TCN-only (centralized),burst,0.12269466370344162,0.19622832536697388,0.22895817458629608,0.34596383571624756,2.5499091148376465,2760,13538,52.8828125,0.0,0.24991996999688126,13.200435467000261,30.0,11040,2760,2760
53,adr_tcn_central,ADR TCN-only (centralized),mixed,0.10014703869819641,0.13043488562107086,0.1905689537525177,0.22973772883415222,0.9626218676567078,2760,13538,52.8828125,0.0,0.3157803500016598,14.043149629000254,30.0,11040,2760,2760
53,adr_tcn_central,ADR TCN-only (centralized),independent,0.0932345762848854,0.11272694170475006,0.18019837141036987,0.21444840729236603,0.7133849263191223,2760,13538,52.8828125,0.0,0.3160965200004284,14.043149629000254,30.0,11040,2760,2760
53,adr_tcn_central,ADR TCN-only (centralized),burst,0.1162148043513298,0.16883166134357452,0.2199394851922989,0.33385130763053894,1.3560227155685425,2760,13538,52.8828125,0.0,0.28060267999990174,14.043149629000254,30.0,11040,2760,2760
71,adr_tcn_central,ADR TCN-only (centralized),mixed,0.09834807366132736,0.12603071331977844,0.1826901137828827,0.24191144108772278,0.7900708913803101,2760,13538,52.8828125,0.0,0.28432019000319997,14.537896745000126,30.0,11040,2760,2760
71,adr_tcn_central,ADR TCN-only (centralized),independent,0.0907839760184288,0.10805752128362656,0.16874508559703827,0.20231573283672333,0.39589938521385193,2760,13538,52.8828125,0.0,0.2853490100005729,14.537896745000126,30.0,11040,2760,2760
71,adr_tcn_central,ADR TCN-only (centralized),burst,0.11688216775655746,0.16993074119091034,0.2231026142835617,0.3659956157207489,1.4694292545318604,2760,13538,52.8828125,0.0,0.28388574000018707,14.537896745000126,30.0,11040,2760,2760
11,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),mixed,0.09471751749515533,0.11657492071390152,0.17972224950790405,0.2183578908443451,0.538928747177124,2760,30970,120.9765625,0.0,0.45613210999817966,21.318138930999794,30.0,11040,2760,2760
11,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),independent,0.09006638079881668,0.10788749158382416,0.1677098125219345,0.20487339794635773,0.5715522170066833,2760,30970,120.9765625,0.0,0.4092732099979912,21.318138930999794,30.0,11040,2760,2760
11,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),burst,0.10245814919471741,0.13035298883914948,0.19980014860630035,0.25823065638542175,0.6415306329727173,2760,30970,120.9765625,0.0,0.41910579999694164,21.318138930999794,30.0,11040,2760,2760
23,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),mixed,0.09722267836332321,0.1233864352107048,0.18372467160224915,0.23353931307792664,0.77935391664505,2760,30970,120.9765625,0.0,0.4131889200016303,18.982070673999715,30.0,11040,2760,2760
23,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),independent,0.09075174480676651,0.10880971699953079,0.17345695197582245,0.2042907029390335,0.49738359451293945,2760,30970,120.9765625,0.0,0.428254969997397,18.982070673999715,30.0,11040,2760,2760
23,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),burst,0.1060204803943634,0.14164291322231293,0.2052047848701477,0.2674136161804199,1.4608756303787231,2760,30970,120.9765625,0.0,0.4714155800002118,18.982070673999715,30.0,11040,2760,2760
37,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),mixed,0.1001560166478157,0.129642054438591,0.18927176296710968,0.23427648842334747,0.8533485531806946,2760,30970,120.9765625,0.0,0.49911815999621467,21.04113669699973,30.0,11040,2760,2760
37,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),independent,0.09401638805866241,0.11422670632600784,0.18166223168373108,0.21396762132644653,0.5724565982818604,2760,30970,120.9765625,0.0,0.5043752600022344,21.04113669699973,30.0,11040,2760,2760
37,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),burst,0.11323531717061996,0.15971317887306213,0.2198529839515686,0.29150474071502686,2.0456130504608154,2760,30970,120.9765625,0.0,0.49970393999956286,21.04113669699973,30.0,11040,2760,2760
53,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),mixed,0.09762267023324966,0.1227140948176384,0.1879449039697647,0.22576217353343964,0.8581249117851257,2760,30970,120.9765625,0.0,0.5100060099994153,20.77089785299995,30.0,11040,2760,2760
53,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),independent,0.0932345762848854,0.11272694170475006,0.18019837141036987,0.21444840729236603,0.7133849263191223,2760,30970,120.9765625,0.0,0.5064014699973995,20.77089785299995,30.0,11040,2760,2760
53,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),burst,0.10887373983860016,0.14642441272735596,0.21037724614143372,0.28104645013809204,0.9959454536437988,2760,30970,120.9765625,0.0,0.49581716999909986,20.77089785299995,30.0,11040,2760,2760
71,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),mixed,0.09632270783185959,0.11955056339502335,0.1818367838859558,0.2339402288198471,0.551548182964325,2760,30970,120.9765625,0.0,0.5104255799960811,21.325112765000085,30.0,11040,2760,2760
71,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),independent,0.0907839760184288,0.10805752128362656,0.16874508559703827,0.20231573283672333,0.39589938521385193,2760,30970,120.9765625,0.0,0.4992788000026849,21.325112765000085,30.0,11040,2760,2760
71,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),burst,0.10792257636785507,0.14396308362483978,0.20382092893123627,0.29780784249305725,1.1402974128723145,2760,30970,120.9765625,0.0,0.4968652200022916,21.325112765000085,30.0,11040,2760,2760
11,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),mixed,0.1009068563580513,0.13673658668994904,0.181654691696167,0.23519016802310944,1.159625768661499,2760,30970,120.9765625,120.9765625,0.49457593000170164,21.537884545999987,30.0,11040,2760,2760
11,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),independent,0.09006638079881668,0.10788749158382416,0.1677098125219345,0.20487339794635773,0.5715522170066833,2760,30970,120.9765625,120.9765625,0.5097862899992833,21.537884545999987,30.0,11040,2760,2760
11,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),burst,0.11803936958312988,0.1706809550523758,0.23040840029716492,0.365992933511734,1.017431378364563,2760,30970,120.9765625,120.9765625,0.4157462100010889,21.537884545999987,30.0,11040,2760,2760
23,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),mixed,0.10254449397325516,0.13949054479599,0.19379021227359772,0.25659283995628357,1.1110477447509766,2760,30970,120.9765625,120.9765625,0.4275907200008078,22.655199666000044,30.0,11040,2760,2760
23,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),independent,0.09075174480676651,0.10880971699953079,0.17345695197582245,0.2042907029390335,0.49738359451293945,2760,30970,120.9765625,120.9765625,0.4114273100003629,22.655199666000044,30.0,11040,2760,2760
23,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),burst,0.12306755036115646,0.18431377410888672,0.24534428119659424,0.4104359447956085,1.6105875968933105,2760,30970,120.9765625,120.9765625,0.41285272000095574,22.655199666000044,30.0,11040,2760,2760
37,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),mixed,0.10736174881458282,0.15381158888339996,0.19259892404079437,0.2520444691181183,1.1393661499023438,2760,30970,120.9765625,120.9765625,0.4313103999993473,21.325293542000054,30.0,11040,2760,2760
37,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),independent,0.09401638805866241,0.11422670632600784,0.18166223168373108,0.21396762132644653,0.5724565982818604,2760,30970,120.9765625,120.9765625,0.4123524800024825,21.325293542000054,30.0,11040,2760,2760
