snr_db,method,label,mae_m_mean,mae_m_std,rmse_m_mean,p95_m_mean,aoa_std_deg
0,adr_lstm_central,ADR LSTM-only (centralized),0.47193027,0.013674536,0.5719681,1.0843834,14.514365903196108
0,adr_tcn_central,ADR TCN-only (centralized),0.4722794,0.014822766,0.57221675,1.0859038,14.514365903196108
0,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.47046995,0.014673237,0.5708343,1.0843834,14.514365903196108
0,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.47485256,0.015260484,0.57439727,1.0861129,14.514365903196108
0,fl_static_no_densification,Federated static DNN without temporal densification,0.53643817,0.018284757,0.7089943,1.363757,14.514365903196108
0,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),1.6495914,0.020309404,1.7898747,2.7516823,14.514365903196108
5,adr_lstm_central,ADR LSTM-only (centralized),0.2996529,0.0059188106,0.36042717,0.6774672,9.678112569110613
5,adr_tcn_central,ADR TCN-only (centralized),0.30013543,0.006580411,0.3608319,0.67732245,9.678112569110613
5,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.29805827,0.006668524,0.3586142,0.6727816,9.678112569110613
5,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.30328846,0.007214227,0.36493593,0.6889132,9.678112569110613
5,fl_static_no_densification,Federated static DNN without temporal densification,0.36537236,0.012959,0.55337983,0.8842732,9.678112569110613
5,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),1.3769119,0.019692041,1.5215838,2.4263046,9.678112569110613
10,adr_lstm_central,ADR LSTM-only (centralized),0.20011005,0.0031453066,0.24116507,0.45789266,6.477289161443913
10,adr_tcn_central,ADR TCN-only (centralized),0.20064226,0.0035678342,0.24180862,0.45980126,6.477289161443913
10,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.19850218,0.0037027157,0.2385352,0.45118704,6.477289161443913
10,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.20416442,0.0043335427,0.24841122,0.47299758,6.477289161443913
10,fl_static_no_densification,Federated static DNN without temporal densification,0.266412,0.011281989,0.48452163,0.5706327,6.477289161443913
10,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),1.1448964,0.018753389,1.2905982,2.1181185,6.477289161443913
15,adr_lstm_central,ADR LSTM-only (centralized),0.13841736,0.002209956,0.16977103,0.32360584,4.370456435499681
15,adr_tcn_central,ADR TCN-only (centralized),0.13895245,0.0025309273,0.17074049,0.32743105,4.370456435499681
15,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.13680561,0.002676553,0.16610403,0.31574777,4.370456435499681
15,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.14262795,0.00331139,0.18022618,0.33830643,4.370456435499681
15,fl_static_no_densification,Federated static DNN without temporal densification,0.2049304,0.011066471,0.45329732,0.38086528,4.370456435499681
15,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),1.0039186,0.017417785,1.1448685,1.8980919,4.370456435499681
20,adr_lstm_central,ADR LSTM-only (centralized),0.09883411,0.0016129367,0.1272218,0.23530631,3.0000000000000004
20,adr_tcn_central,ADR TCN-only (centralized),0.09935516,0.0018264082,0.12857595,0.23586729,3.0000000000000004
20,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.09720832,0.0019905535,0.12237362,0.22917521,3.0000000000000004
20,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.10308447,0.0026807063,0.1409981,0.24526516,3.0000000000000004
20,fl_static_no_densification,Federated static DNN without temporal densification,0.16541675,0.010696043,0.43915325,0.260197,3.0000000000000004
20,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.9375165,0.017168442,1.0734603,1.7837439,3.0000000000000004
25,adr_lstm_central,ADR LSTM-only (centralized),0.073699825,0.0013396455,0.10297978,0.17165168,2.1297271778393787
25,adr_tcn_central,ADR TCN-only (centralized),0.07421035,0.0015156552,0.10469725,0.17301083,2.1297271778393787
25,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.07206652,0.0016570212,0.09699957,0.1693252,2.1297271778393787
25,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.07795671,0.0023394912,0.11962441,0.17918825,2.1297271778393787
25,fl_static_no_densification,Federated static DNN without temporal densification,0.14030665,0.010697083,0.43274975,0.18535869,2.1297271778393787
25,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.9115592,0.017263504,1.0448173,1.7346575,2.1297271778393787
30,adr_lstm_central,ADR LSTM-only (centralized),0.058390863,0.001250799,0.090161264,0.1332607,1.6008373651881906
30,adr_tcn_central,ADR TCN-only (centralized),0.058896907,0.0013480694,0.09216635,0.13409665,1.6008373651881906
30,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.056753844,0.0014746723,0.083320424,0.13076213,1.6008373651881906
30,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.06264694,0.0021413593,0.10880295,0.1370025,1.6008373651881906
30,fl_static_no_densification,Federated static DNN without temporal densification,0.12500642,0.010656339,0.42987975,0.13899234,1.6008373651881906
30,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.902562,0.017361345,1.0347728,1.7178214,1.6008373651881906
35,adr_lstm_central,ADR LSTM-only (centralized),0.049699467,0.0012513165,0.08386137,0.10970197,1.3002513113090588
35,adr_tcn_central,ADR TCN-only (centralized),0.050203882,0.0012733036,0.086046524,0.10991571,1.3002513113090588
35,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.048061185,0.0013966395,0.07649489,0.10795425,1.3002513113090588
35,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.05395367,0.002044205,0.10364983,0.111790635,1.3002513113090588
35,fl_static_no_densification,Federated static DNN without temporal densification,0.11631854,0.010624956,0.4286042,0.11287544,1.3002513113090588
35,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.8996204,0.017422277,1.0314786,1.7126906,1.3002513113090588
40,adr_lstm_central,ADR LSTM-only (centralized),0.045130163,0.0012563654,0.080918685,0.09746494,1.142473721008936
40,adr_tcn_central,ADR TCN-only (centralized),0.04563433,0.0012387193,0.08320008,0.09705944,1.142473721008936
40,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.043491296,0.0013599753,0.07327606,0.09591194,1.142473721008936
40,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.049382962,0.0019957921,0.101287045,0.09848582,1.142473721008936
40,fl_static_no_densification,Federated static DNN without temporal densification,0.11175048,0.010610349,0.42803892,0.0994611,1.142473721008936
40,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.8986791,0.01745677,1.0304264,1.7117592,1.142473721008936
