seed,snr_db,aoa_std_deg,method,label,mae_m,rmse_m,p90_m,p95_m
11,0,14.514365903196108,fl_static_no_densification,Federated static DNN without temporal densification,0.51280165,0.6646175,0.95246494,1.2689818
11,0,14.514365903196108,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),1.6393232,1.7759748,2.5277252,2.7781258
11,0,14.514365903196108,adr_tcn_central,ADR TCN-only (centralized),0.4631131,0.5607549,0.86438453,1.0577867
11,0,14.514365903196108,adr_lstm_central,ADR LSTM-only (centralized),0.4629643,0.56072694,0.86462814,1.0577867
11,0,14.514365903196108,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.46106604,0.55935824,0.86438453,1.0577867
11,0,14.514365903196108,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.4661156,0.5635105,0.86482,1.0615184
11,5,9.678112569110613,fl_static_no_densification,Federated static DNN without temporal densification,0.34392878,0.5012468,0.5982596,0.7984426
11,5,9.678112569110613,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),1.3687716,1.5116597,2.1984606,2.4525895
11,5,9.678112569110613,adr_tcn_central,ADR TCN-only (centralized),0.29316518,0.35053957,0.5411092,0.66730577
11,5,9.678112569110613,adr_lstm_central,ADR LSTM-only (centralized),0.29283884,0.35038137,0.54180825,0.66730577
11,5,9.678112569110613,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.29092324,0.34847718,0.5395065,0.66075283
11,5,9.678112569110613,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.2967046,0.35555634,0.5484933,0.6775418
11,10,6.477289161443913,fl_static_no_densification,Federated static DNN without temporal densification,0.24786186,0.42866042,0.39568046,0.5288856
11,10,6.477289161443913,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),1.1376355,1.2829273,1.8704866,2.1538138
11,10,6.477289161443913,adr_tcn_central,ADR TCN-only (centralized),0.19659519,0.23443642,0.3692656,0.44079363
11,10,6.477289161443913,adr_lstm_central,ADR LSTM-only (centralized),0.19619988,0.23408273,0.36815253,0.4394049
11,10,6.477289161443913,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.19434646,0.2315021,0.36550918,0.43520012
11,10,6.477289161443913,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.20044525,0.24226353,0.38029614,0.4590318
11,15,4.370456435499681,fl_static_no_densification,Federated static DNN without temporal densification,0.18712087,0.39471886,0.26822278,0.35914457
11,15,4.370456435499681,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.99649125,1.1373013,1.6406363,1.9239349
11,15,4.370456435499681,adr_tcn_central,ADR TCN-only (centralized),0.13567896,0.1640343,0.2556658,0.31512582
11,15,4.370456435499681,adr_lstm_central,ADR LSTM-only (centralized),0.1352807,0.16333741,0.25724474,0.31245157
11,15,4.370456435499681,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.13342053,0.159833,0.252037,0.30099726
11,15,4.370456435499681,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.13961329,0.1751202,0.26132873,0.3300432
11,20,3.0000000000000004,fl_static_no_densification,Federated static DNN without temporal densification,0.14847879,0.37930256,0.1850362,0.24766861
11,20,3.0000000000000004,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.9296852,1.0655339,1.5357877,1.788225
11,20,3.0000000000000004,adr_tcn_central,ADR TCN-only (centralized),0.096980155,0.12231758,0.18145573,0.22757922
11,20,3.0000000000000004,adr_lstm_central,ADR LSTM-only (centralized),0.096592724,0.12115992,0.18127394,0.23107001
11,20,3.0000000000000004,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.09471752,0.11657492,0.17972225,0.21835789
11,20,3.0000000000000004,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.10090686,0.13673659,0.18165469,0.23519017
11,25,2.1297271778393787,fl_static_no_densification,Federated static DNN without temporal densification,0.1236058,0.37213966,0.13232891,0.17808071
11,25,2.1297271778393787,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.9035774,1.0367358,1.4972358,1.7496245
11,25,2.1297271778393787,adr_tcn_central,ADR TCN-only (centralized),0.07208667,0.09791195,0.13098405,0.16761322
11,25,2.1297271778393787,adr_lstm_central,ADR LSTM-only (centralized),0.071710825,0.096282594,0.12991118,0.16733721
11,25,2.1297271778393787,adr_tcn_lstm_central,ADR TCN-LSTM (centralized),0.06982828,0.09058876,0.12914887,0.1620823
11,25,2.1297271778393787,adr_tcn_lstm_federated,Proposed ADR TCN-LSTM (federated),0.075993516,0.1153134,0.13037756,0.16893227
11,30,1.6008373651881906,fl_static_no_densification,Federated static DNN without temporal densification,0.108475596,0.36890274,0.099136196,0.13308588
11,30,1.6008373651881906,single_pd_lstm_central,Single-PD/RSS LSTM (centralized),0.89456576,1.0266848,1.4816843,1.7235281
11,30,1.6008373651881906,adr_tcn_central,ADR TCN-only (centralized),0.056951184,0.08485121,0.09870485,0.13147596
11,30,1.6008373651881906,adr_lstm_central,ADR LSTM-only (centralized),0.056579534,0.082826726,0.09870485,0.1302046
